Invoice_Number,Amount,Posting_Date,Vendor_Name,GL_Account,Created_By,Approved_By,Entry_Type,Description
INV-10001,593.83,2026-03-24,OfficeDepot Co,6020-IT Cloud Infra,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10001
INV-10002,3754.59,2026-03-01,Metro Facilities,6010-Office Expense,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10002
INV-10003,1215.25,2026-03-21,Metro Facilities,6010-Office Expense,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10003
INV-10004,2647.18,2026-03-25,Delta Freight,6050-Maintenance,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10004
INV-10005,4231.25,2026-03-25,OfficeDepot Co,6030-Consulting Fees,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10005
INV-10006,657.47,2026-03-09,TechSupplies Inc,6030-Consulting Fees,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10006
INV-10007,4391.94,2026-03-18,Metro Facilities,6010-Office Expense,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10007
INV-10008,3303.05,2026-03-03,OfficeDepot Co,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10008
INV-10009,1168.32,2026-03-13,OfficeDepot Co,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10009
INV-10010,3328.63,2026-03-07,OfficeDepot Co,6020-IT Cloud Infra,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10010
INV-10011,4011.22,2026-03-24,TechSupplies Inc,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10011
INV-10012,2443.03,2026-03-11,OfficeDepot Co,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10012
INV-10013,4714.99,2026-03-09,CloudScale Networks,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10013
INV-10014,4597.37,2026-03-16,Metro Facilities,6030-Consulting Fees,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10014
INV-10015,4800.2,2026-03-08,Delta Freight,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10015
INV-10016,3314.4,2026-03-08,Metro Facilities,6040-Freight & Delivery,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10016
INV-10017,3366.12,2026-03-05,Delta Freight,6010-Office Expense,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10017
INV-10018,4406.79,2026-03-13,Delta Freight,6050-Maintenance,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10018
INV-10019,2753.3,2026-03-24,OfficeDepot Co,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10019
INV-10020,4479.84,2026-03-14,OfficeDepot Co,6030-Consulting Fees,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10020
INV-10021,103.67,2026-03-04,OfficeDepot Co,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10021
INV-10022,2419.14,2026-03-12,Metro Facilities,6050-Maintenance,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10022
INV-10023,3348.44,2026-03-01,Metro Facilities,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10023
INV-10024,1874.66,2026-03-19,OfficeDepot Co,6020-IT Cloud Infra,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10024
INV-10025,1758.84,2026-03-22,Delta Freight,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10025
INV-10026,3043.72,2026-03-18,OfficeDepot Co,6050-Maintenance,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10026
INV-10027,4085.85,2026-03-17,OfficeDepot Co,6040-Freight & Delivery,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10027
INV-10028,1517.29,2026-03-18,TechSupplies Inc,6030-Consulting Fees,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10028
INV-10029,1226.57,2026-03-02,TechSupplies Inc,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10029
INV-10030,1247.16,2026-03-18,CloudScale Networks,6030-Consulting Fees,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10030
INV-10031,4742.08,2026-03-26,Metro Facilities,6050-Maintenance,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10031
INV-10032,2329.46,2026-03-14,TechSupplies Inc,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10032
INV-10033,4558.82,2026-03-24,TechSupplies Inc,6010-Office Expense,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10033
INV-10034,4496.25,2026-03-15,CloudScale Networks,6020-IT Cloud Infra,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10034
INV-10035,993.57,2026-03-26,Delta Freight,6020-IT Cloud Infra,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10035
INV-10036,3645.23,2026-03-25,TechSupplies Inc,6050-Maintenance,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10036
INV-10037,1689.7,2026-03-02,Delta Freight,6040-Freight & Delivery,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10037
INV-10038,101.71,2026-03-14,Delta Freight,6030-Consulting Fees,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10038
INV-10039,4191.93,2026-03-10,Metro Facilities,6040-Freight & Delivery,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10039
INV-10040,412.31,2026-03-02,Metro Facilities,6010-Office Expense,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10040
INV-10041,2914.1,2026-03-03,Metro Facilities,6020-IT Cloud Infra,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10041
INV-10042,1209.67,2026-03-19,TechSupplies Inc,6020-IT Cloud Infra,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10042
INV-10043,3103.84,2026-03-19,Metro Facilities,6010-Office Expense,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10043
INV-10044,1963.5,2026-03-09,OfficeDepot Co,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10044
INV-10045,3588.46,2026-03-01,OfficeDepot Co,6040-Freight & Delivery,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10045
INV-10046,5268.14,2026-03-09,TechSupplies Inc,6010-Office Expense,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10046
INV-10047,1815.49,2026-03-06,TechSupplies Inc,6020-IT Cloud Infra,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10047
INV-10048,2980.12,2026-03-27,OfficeDepot Co,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10048
INV-10049,5023.42,2026-03-04,TechSupplies Inc,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10049
INV-10050,1396.07,2026-03-11,OfficeDepot Co,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10050
INV-10051,3277.29,2026-03-28,OfficeDepot Co,6050-Maintenance,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10051
INV-10052,3198.54,2026-03-25,OfficeDepot Co,6010-Office Expense,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10052
INV-10053,4962.28,2026-03-01,CloudScale Networks,6040-Freight & Delivery,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10053
INV-10054,4779.19,2026-03-19,CloudScale Networks,6050-Maintenance,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10054
INV-10055,2516.5,2026-03-12,TechSupplies Inc,6030-Consulting Fees,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10055
INV-10056,1361.27,2026-03-24,TechSupplies Inc,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10056
INV-10057,4725.66,2026-03-06,CloudScale Networks,6020-IT Cloud Infra,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10057
INV-10058,2267.88,2026-03-26,Delta Freight,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10058
INV-10059,2462.59,2026-03-27,TechSupplies Inc,6040-Freight & Delivery,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10059
INV-10060,2882.75,2026-03-07,CloudScale Networks,6020-IT Cloud Infra,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10060
INV-10061,1628.95,2026-03-17,TechSupplies Inc,6030-Consulting Fees,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10061
INV-10062,5135.57,2026-03-09,Metro Facilities,6030-Consulting Fees,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10062
INV-10063,4901.56,2026-03-14,OfficeDepot Co,6010-Office Expense,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10063
INV-10064,4125.15,2026-03-19,Delta Freight,6050-Maintenance,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10064
INV-10065,326.36,2026-03-14,Delta Freight,6010-Office Expense,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10065
INV-10066,3357.19,2026-03-28,OfficeDepot Co,6050-Maintenance,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10066
INV-10067,4561.13,2026-03-13,Metro Facilities,6030-Consulting Fees,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10067
INV-10068,3314.14,2026-03-24,CloudScale Networks,6040-Freight & Delivery,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10068
INV-10069,4130.39,2026-03-10,OfficeDepot Co,6040-Freight & Delivery,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10069
INV-10070,4037.12,2026-03-15,Metro Facilities,6030-Consulting Fees,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10070
INV-10071,3067.4,2026-03-22,CloudScale Networks,6010-Office Expense,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10071
INV-10072,2133.59,2026-03-05,CloudScale Networks,6030-Consulting Fees,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10072
INV-10073,1242.89,2026-03-14,Delta Freight,6050-Maintenance,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10073
INV-10074,3860.34,2026-03-05,Delta Freight,6040-Freight & Delivery,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10074
